GNBM-3235-MONOMER	GNBM-3235		D-mannonate oxidoreductase	
GNBM-3374-MONOMER	GNBM-3374		Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	
GNBM-3828-MONOMER	GNBM-3828		Maltose/maltodextrin ABC transporter, permease protein MalF	
GNBM-3320-MONOMER	GNBM-3320		Competence protein F homolog,phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy	
GNBM-1396-MONOMER	GNBM-1396		YrbA protein	
GNBM-4377-MONOMER	GNBM-4377		FIG00641447: hypothetical protein	
GNBM-3338-MONOMER	GNBM-3338		Hypothetical fimbrial chaperone ycbF precursor	
GNBM-4100-MONOMER	GNBM-4100		Pyruvate formate-lyase activating enzyme	
GNBM-1750-MONOMER	GNBM-1750		Asparagine synthetase [glutamine-hydrolyzing]	
GNBM-1466-MONOMER	GNBM-1466		tRNA dihydrouridine synthase B	
GNBM-3779-MONOMER	GNBM-3779		Guanine-hypoxanthine permease	
GNBM-3231-MONOMER	GNBM-3231		FIG00638422: hypothetical protein	
GNBM-334-MONOMER	GNBM-334		Minor fimbrial subunit StfE	
GNBM-2715-MONOMER	GNBM-2715		Heat shock protein 60 family co-chaperone GroES	
GNBM-659-MONOMER	GNBM-659		Electron transport complex protein RnfC	
GNBM-2632-MONOMER	GNBM-2632		Heat shock protein hslJ	
GNBM-1674-MONOMER	GNBM-1674		Ferric enterobactin uptake protein FepE	
GNBM-4228-MONOMER	GNBM-4228		Multidrug resistance protein B	
GNBM-4292-MONOMER	GNBM-4292		Putative 3-hydroxyacyl-coa dehydrogenase	
GNBM-3372-MONOMER	GNBM-3372		Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	
GNBM-4201-MONOMER	GNBM-4201		gamma-aminobutyrate (GABA) permease	
GNBM-978-MONOMER	GNBM-978		FIG00638745: hypothetical protein	
GNBM-2888-MONOMER	GNBM-2888		ClpB protein	
GNBM-924-MONOMER	GNBM-924		FIG00638599: hypothetical protein	
GNBM-3063-MONOMER	GNBM-3063		Cell division protein FtsI [Peptidoglycan synthetase]	
GNBM-3230-MONOMER	GNBM-3230		YjiD protein	
GNBM-11-MONOMER	GNBM-11		Histidinol-phosphatase	
GNBM-2665-MONOMER	GNBM-2665		Metal-dependent hydrolase involved in phosphonate metabolism	
GNBM-3247-MONOMER	GNBM-3247		Translation elongation factor G	
GNBM-2636-MONOMER	GNBM-2636		Putative uncharacterized protein ydbL, may be related to amine metabolism	
GNBM-2368-MONOMER	GNBM-2368		Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	
GNBM-3598-MONOMER	GNBM-3598		Protein of unknown function DUF484	
GNBM-469-MONOMER	GNBM-469		Phosphoribosylformylglycinamidine cyclo-ligase	
GNBM-3131-MONOMER	GNBM-3131		FIG00638364: hypothetical protein	
GNBM-3048-MONOMER	GNBM-3048		Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase)	
GNBM-1315-MONOMER	GNBM-1315		hypothetical protein	
GNBM-1182-MONOMER	GNBM-1182		Low-affinity inorganic phosphate transporter	
GNBM-906-MONOMER	GNBM-906		Aspartyl-tRNA synthetase	
GNBM-3526-MONOMER	GNBM-3526		Cytosine deaminase	
GNBM-402-MONOMER	GNBM-402		Sulfate transporter, CysZ-type	
GNBM-3736-MONOMER	GNBM-3736		Predicted chaperone lipoprotein YacC, potentially involved in protein secretion	
GNBM-2812-MONOMER	GNBM-2812		TldE protein, part of TldE/TldD proteolytic complex	
GNBM-1952-MONOMER	GNBM-1952		Pyruvate oxidase [ubiquinone, cytochrome]	
GNBM-2924-MONOMER	GNBM-2924		Oxidoreductase, aldo/keto reductase family	
GNBM-1274-MONOMER	GNBM-1274		TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	
GNBM-4668-MONOMER	GNBM-4668		Glycosyl transferase	
GNBM-1612-MONOMER	GNBM-1612		YbbM seven transmembrane helix protein	
GNBM-2207-MONOMER	GNBM-2207		Periplasmic septal ring factor with murein hydrolase activity EnvC/YibP	
GNBM-2498-MONOMER	GNBM-2498		Nitrate/nitrite transporter	
GNBM-1868-MONOMER	GNBM-1868		Inner membrane protein YbhQ	
GNBM-1873-MONOMER	GNBM-1873		ABC transport system, permease component YbhS	
GNBM-1892-MONOMER	GNBM-1892		Glutamate transport membrane-spanning protein	
GNBM-2049-MONOMER	GNBM-2049		Ni,Fe-hydrogenase I cytochrome b subunit	
GNBM-1225-MONOMER	GNBM-1225		FIG00637906: hypothetical protein	
GNBM-2658-MONOMER	GNBM-2658		D-allose ABC transporter, substrate-binding component	
GNBM-2124-MONOMER	GNBM-2124		FIG004405: Putative cytoplasmic protein	
GNBM-3302-MONOMER	GNBM-3302		IgaA: a membrane protein that prevents overactivation of the Rcs regulatory system	
GNBM-4347-MONOMER	GNBM-4347		LSU ribosomal protein L30p (L7e)	
GNBM-4331-MONOMER	GNBM-4331		LSU ribosomal protein L23p (L23Ae)	
GNBM-4837-MONOMER	GNBM-4837		FIG00638371: hypothetical protein	
GNBM-4493-MONOMER	GNBM-4493		FIG00640598: hypothetical protein	
GNBM-4323-MONOMER	GNBM-4323		General secretion pathway protein E	
GNBM-3133-MONOMER	GNBM-3133		Transcriptional activator NhaR	
GNBM-1297-MONOMER	GNBM-1297		COG1451: Predicted metal-dependent hydrolase	
GNBM-2823-MONOMER	GNBM-2823		Aspartate carbamoyltransferase regulatory chain (PyrI)	
GNBM-4602-MONOMER	GNBM-4602		FIG00640575: hypothetical protein	
GNBM-577-MONOMER	GNBM-577		HipA protein	
GNBM-928-MONOMER	GNBM-928		FIG00638989: hypothetical protein	
GNBM-4483-MONOMER	GNBM-4483		hypothetical protein	
GNBM-249-MONOMER	GNBM-249		Uncharacterized protein YfaZ precursor	
GNBM-3113-MONOMER	GNBM-3113		Crotonobetainyl-CoA:carnitine CoA-transferase	
GNBM-948-MONOMER	GNBM-948		hypothetical protein	
GNBM-73-MONOMER	GNBM-73		Phosphomethylpyrimidine kinase	
GNBM-755-MONOMER	GNBM-755		hypothetical protein	
GNBM-2388-MONOMER	GNBM-2388		Probable lysozyme from lambdoid prophage DLP12	
GNBM-137-MONOMER	GNBM-137		Pseudouridine 5'-phosphate glycosidase	
GNBM-3359-MONOMER	GNBM-3359		Putative acetyltransferase	
GNBM-1096-MONOMER	GNBM-1096		Yersiniabactin synthetase, thiazolinyl reductase component Irp3	
GNBM-1713-MONOMER	GNBM-1713		Lipoate synthase	
GNBM-4033-MONOMER	GNBM-4033		Protein-L-isoaspartate O-methyltransferase	
GNBM-3774-MONOMER	GNBM-3774		CidA-associated membrane protein CidB	
GNBM-2552-MONOMER	GNBM-2552		Protein yciN	
GNBM-4806-MONOMER	GNBM-4806		VgrG protein	
GNBM-1362-MONOMER	GNBM-1362		FIG138517: Putative lipid carrier protein	
GNBM-414-MONOMER	GNBM-414		3-oxoacyl-[acyl-carrier protein] reductase	
GNBM-1162-MONOMER	GNBM-1162		Glycolate permease	
GNBM-3202-MONOMER	GNBM-3202		Regulator of L-galactonate catabolism YjjM	
GNBM-3649-MONOMER	GNBM-3649		Twin-arginine translocation protein TatC	
GNBM-1011-MONOMER	GNBM-1011		Cystine ABC transporter, permease protein	
GNBM-3238-MONOMER	GNBM-3238		mannose-specific adhesin FimH	
GNBM-2948-MONOMER	GNBM-2948		Accessory protein YqeC in selenium-dependent molybdenum hydroxylase maturation	
GNBM-2586-MONOMER	GNBM-2586		Phage shock protein C	
GNBM-3386-MONOMER	GNBM-3386		Putative receptor	
GNBM-3581-MONOMER	GNBM-3581		Probable transport protein YifK	
GNBM-4874-MONOMER	GNBM-4874		Intergenic-region protein	
GNBM-4877-MONOMER	GNBM-4877		FIG00639949: hypothetical protein	
GNBM-4021-MONOMER	GNBM-4021		DNA mismatch repair protein MutS	
GNBM-3904-MONOMER	GNBM-3904		3-oxoacyl-[acyl-carrier-protein] synthase, KASII	
GNBM-3590-MONOMER	GNBM-3590		Uroporphyrinogen-III synthase	
GNBM-4103-MONOMER	GNBM-4103		PTS system, fructose-specific IIC component	
GNBM-1067-MONOMER	GNBM-1067		FIG00639580: hypothetical protein	
GNBM-3069-MONOMER	GNBM-3069		Acetolactate synthase small subunit	
GNBM-3772-MONOMER	GNBM-3772		Putative membrane protein, clustering with ActP	
GNBM-3242-MONOMER	GNBM-3242		chaperone FimC	
GNBM-4787-MONOMER	GNBM-4787		FIG00640183: hypothetical protein	
GNBM-3107-MONOMER	GNBM-3107		Ferredoxin-like protein FixX	
GNBM-295-MONOMER	GNBM-295		Phosphate acetyltransferase	
GNBM-1831-MONOMER	GNBM-1831		Probable secreted protein	
GNBM-1291-MONOMER	GNBM-1291		FIG00639150: hypothetical protein	
GNBM-2096-MONOMER	GNBM-2096		putative regulatory protein	
GNBM-2964-MONOMER	GNBM-2964		FIG00638342: hypothetical protein	
GNBM-4429-MONOMER	GNBM-4429		DeoR-type transcriptional regulator YihW	
GNBM-3322-MONOMER	GNBM-3322		High-affinity gluconate transporter GntT	
GNBM-3305-MONOMER	GNBM-3305		33 kDa chaperonin (Heat shock protein 33) (HSP33)	
GNBM-1641-MONOMER	GNBM-1641		FIG00641806: hypothetical protein	
GNBM-3535-MONOMER	GNBM-3535		2-methylcitrate synthase	
GNBM-3991-MONOMER	GNBM-3991		Glucitol operon GutQ protein	
GNBM-3493-MONOMER	GNBM-3493		hypothetical protein	
GNBM-3889-MONOMER	GNBM-3889		NADH dehydrogenase	
GNBM-4128-MONOMER	GNBM-4128		Putative cytoplasmic protein	
GNBM-4597-MONOMER	GNBM-4597		Putative phosphotransferase enzyme	
GNBM-2098-MONOMER	GNBM-2098		FIG00638123: hypothetical protein	
GNBM-3109-MONOMER	GNBM-3109		Electron transfer flavoprotein, alpha subunit FixB	
GNBM-2323-MONOMER	GNBM-2323		Chromosomal replication initiator protein DnaA	
GNBM-1412-MONOMER	GNBM-1412		Phosphocarrier protein, nitrogen regulation associated	
GNBM-3012-MONOMER	GNBM-3012		Putative metalloprotease yggG	
GNBM-2775-MONOMER	GNBM-2775		LSU ribosomal protein L9p	
GNBM-1968-MONOMER	GNBM-1968		Transport ATP-binding protein CydC	
GNBM-3595-MONOMER	GNBM-3595		Possible exported protein	
GNBM-3009-MONOMER	GNBM-3009		PTS system, mannitol-specific cryptic IIA component	
GNBM-4296-MONOMER	GNBM-4296		FIG00641019: hypothetical protein	
GNBM-1502-MONOMER	GNBM-1502		Pyrroline-5-carboxylate reductase	
GNBM-3423-MONOMER	GNBM-3423		Arsenate reductase	
GNBM-2401-MONOMER	GNBM-2401		Phage DNA-packaging protein	
GNBM-1768-MONOMER	GNBM-1768		Hypothetical lipoprotein ybfN precursor	
GNBM-3475-MONOMER	GNBM-3475		Gamma-glutamyl phosphate reductase	
GNBM-4804-MONOMER	GNBM-4804		FIG00638773: hypothetical protein	
GNBM-1116-MONOMER	GNBM-1116		DUF1706 domain-containing protein	
GNBM-2872-MONOMER	GNBM-2872		COG2363	
GNBM-1393-MONOMER	GNBM-1393		Octaprenyl diphosphate synthase	
GNBM-1589-MONOMER	GNBM-1589		Adenine phosphoribosyltransferase	
GNBM-3485-MONOMER	GNBM-3485		CFA/I fimbrial minor adhesin	
GNBM-1515-MONOMER	GNBM-1515		Phosphate regulon transcriptional regulatory protein PhoB (SphR)	
GNBM-2918-MONOMER	GNBM-2918		Prolipoprotein diacylglyceryl transferase	
GNBM-4102-MONOMER	GNBM-4102		PTS system fructose-like IIB component 1 precursor	
GNBM-3324-MONOMER	GNBM-3324		Maltodextrin phosphorylase	
GNBM-3572-MONOMER	GNBM-3572		UDP-glucose dehydrogenase	
GNBM-3316-MONOMER	GNBM-3316		Ferrous iron transport protein B	
GNBM-4707-MONOMER	GNBM-4707		hypothetical protein	
GNBM-1329-MONOMER	GNBM-1329		Threonine catabolic operon transcriptional activator TdcR	
GNBM-2186-MONOMER	GNBM-2186		Uncharacterized GST-like protein yibF	
GNBM-2351-MONOMER	GNBM-2351		ATP synthase epsilon chain	
GNBM-4376-MONOMER	GNBM-4376		FIG00643960: hypothetical protein	
GNBM-2346-MONOMER	GNBM-2346		Phosphate transport system permease protein PstA (TC 3.A.1.7.1)	
GNBM-1638-MONOMER	GNBM-1638		FIG00640564: hypothetical protein	
GNBM-4232-MONOMER	GNBM-4232		S-ribosylhomocysteine lyase	
GNBM-1041-MONOMER	GNBM-1041		Flagellar biosynthesis protein FliP	
GNBM-1785-MONOMER	GNBM-1785		FIG00637855: hypothetical protein	
GNBM-2788-MONOMER	GNBM-2788		D-serine/D-alanine/glycine transporter	
GNBM-3926-MONOMER	GNBM-3926		Flagellar basal-body P-ring formation protein FlgA	
GNBM-2902-MONOMER	GNBM-2902		Arabinose 5-phosphate isomerase	
GNBM-90-MONOMER	GNBM-90		Mg-chelatase subunit ChlD	
GNBM-2304-MONOMER	GNBM-2304		Hypothetical transcriptional regulator yidL	
GNBM-2177-MONOMER	GNBM-2177		L-xylulose/3-keto-L-gulonate kinase	
GNBM-3755-MONOMER	GNBM-3755		Type IV fimbrial assembly, ATPase PilB	
GNBM-2877-MONOMER	GNBM-2877		HesA/MoeB/ThiF family protein related to EC-YgdL	
GNBM-53-MONOMER	GNBM-53		Putative inner membrane protein	
GNBM-2063-MONOMER	GNBM-2063		Cytochrome c-type protein TorC	
GNBM-2813-MONOMER	GNBM-2813		Soluble cytochrome b562	
GNBM-378-MONOMER	GNBM-378		Manganese transport protein MntH	
GNBM-3453-MONOMER	GNBM-3453		hypothetical protein	
GNBM-660-MONOMER	GNBM-660		Electron transport complex protein RnfD	
GNBM-3222-MONOMER	GNBM-3222		FIG00638136: hypothetical protein	
GNBM-2470-MONOMER	GNBM-2470		Phosphoenolpyruvate-dihydroxyacetone phosphotransferase	
GNBM-1816-MONOMER	GNBM-1816		Tol biopolymer transport system, TolR protein	
GNBM-2963-MONOMER	GNBM-2963		Peptide chain release factor 2; programmed frameshift-containing	
GNBM-4644-MONOMER	GNBM-4644		SAM-dependent methyltransferase YafE (UbiE paralog)	
GNBM-3206-MONOMER	GNBM-3206		COG2879, Hypothetical small protein yjiX	
GNBM-4676-MONOMER	GNBM-4676		Mobile element protein	
GNBM-2184-MONOMER	GNBM-2184		Selenocysteine-specific translation elongation factor	
GNBM-4411-MONOMER	GNBM-4411		FIG00638000: hypothetical protein	
GNBM-4305-MONOMER	GNBM-4305		hypothetical protein	
GNBM-2472-MONOMER	GNBM-2472		Phosphoenolpyruvate-dihydroxyacetone phosphotransferase	
GNBM-237-MONOMER	GNBM-237		Glycerophosphoryl diester phosphodiesterase,periplasmic	
GNBM-3228-MONOMER	GNBM-3228		Isoaspartyl dipeptidase	
GNBM-363-MONOMER	GNBM-363		FIG00638143: hypothetical protein	
GNBM-107-MONOMER	GNBM-107		DedA family inner membrane protein YohD	
GNBM-1384-MONOMER	GNBM-1384		Cell division protein FtsH	
GNBM-1242-MONOMER	GNBM-1242		Similarity with glutathionylspermidine synthase	
GNBM-2411-MONOMER	GNBM-2411		Phage tail assembly protein	
GNBM-700-MONOMER	GNBM-700		Acyl-CoA dehydrogenases	
GNBM-4417-MONOMER	GNBM-4417		Putative lipase	
GNBM-68-MONOMER	GNBM-68		Putative nucleoside transporter YegT	
GNBM-4927-MONOMER	GNBM-4927		Antirestriction protein klcA	
GNBM-863-MONOMER	GNBM-863		putative exported protein	
